LC,Grade,itemkey,Source,questionkey,correctanswervalue,mostcommonwronganswer,total_students,pct_A,pct_B,pct_C,pct_D,pct_E,pct_F,reportingquestiontypename,pct_G,Question Text,Image Summary,choice_A,DR A,choice_B,DR B,choice_C,DR C,choice_D,DR D,choice_E,DR E,choice_F,DR F,choice_G,DR G,Image Summary (if present),MostCommonDR,Learning_Component_Text
MATH-00003,2,i185678,Compass,q188716,A,C,125.0,87.2,5.6,7.2,,,,MULTICHOICE,,Which shape is a quadrilateral?,Three shapes are shown as answer choices. Choice A appears to be a quadrilateral (4-sided shape). Choice B appears to be a pentagon (5-sided shape). Choice C appears to be a hexagon (6-sided shape).,[Shape A - quadrilateral],Correct.,[Shape B - pentagon],"Student identified a pentagon as a quadrilateral, possibly because it looks like a square with a missing corner.",[Shape C - hexagon],"Student identified a hexagon as a quadrilateral, possibly because it looks like two rectangles combined.",,,,,,,,,,"Student identified a hexagon as a quadrilateral, possibly because it looks like two rectangles combined.",Identify quadrilaterals
MATH-00003,2,i112675,Interim_eedi,q100257,A,B,9289.0,69.253956292388,17.515340725589,13.52136936161,,,,MULTICHOICE,,Which shape is a quadrilateral?,"Three shapes shown: A) A concave arrow/chevron shape with 4 sides pointing downward (quadrilateral). B) A rectangle with one corner cut off diagonally, creating a pentagon (5 sides). C) An L-shaped figure made of two rectangles combined, creating a hexagon (6 sides).",[Concave chevron/arrow shape],Correct.,[Rectangle with cut corner - pentagon],"Student chose a pentagon, possibly because it looks like a square with a missing corner.",[L-shaped hexagon],"Student chose a hexagon, possibly because it looks like two rectangles combined.",,,,,,,,,,"Student chose a pentagon, possibly because it looks like a square with a missing corner.",Identify quadrilaterals
MATH-00005,2,i185677,Compass,q188715,A,B,248.0,87.09677419354838,8.46774193548387,4.435483870967742,,,,MULTICHOICE,,Which of these shapes has 6 sides?,,Hexagon,Correct.,Pentagon,Student confused the names or concepts of pentagons and hexagons.,Quadrilateral,Student confused a shape with 4 sides with a shape with 6 sides.,,,,,,,,,,Student confused the names or concepts of pentagons and hexagons.,Identify hexagons
MATH-00005,2,i112430,Interim_eedi,q100695,A,B,9347.0,81.502086230876,11.971755643521,6.740130523162,,,,MULTICHOICE,,Which of these shapes has 6 sides?,,Hexagon,Correct.,Pentagon,Student confused the names or concepts of pentagons and hexagons.,Quadrilateral,Student confused a shape with 4 sides with a shape with 6 sides.,,,,,,,,,,Student confused the names or concepts of pentagons and hexagons.,Identify hexagons
MATH-00008,2,i112284,Interim_eedi,q102785,C,A,12661.0,26.340731379827,16.657452018008,58.170760603427,,,,MULTICHOICE,,Jaylen started dividing a rectangle into squares that are all the same size. His rectangle is below. How many squares will there be when Jaylen finishes?,"A partially divided rectangle is shown. The top row is fully divided into 5 equal columns. The left column has 3 additional rows partially drawn, creating a 5-column by 4-row grid that is incomplete — only the top row and the left column's bottom 3 cells are outlined, suggesting a 5x4=20 total grid.",12,Student excluded the squares already drawn in their final count.,14,Student found the number of squares that would form the border of the rectangle; did not finish partitioning the rectangle.,20,Correct.,,,,,,,,,,Student excluded the squares already drawn in their final count.,Count to find the total number of same-size squares in a partitioned rectangle
MATH-00011,2,i185679,Compass,q188717,B,A,127.0,25.984251968503937,70.86614173228347,3.1496062992125986,,,,MULTICHOICE,,Which circle is cut into thirds?,Three circles are shown as answer choices. Choice A shows a circle divided into 3 unequal pieces. Choice B shows a circle divided into 3 equal pieces (thirds). Choice C shows a circle with three partitioning lines creating four unequal parts.,[Circle A - 3 unequal pieces],Student thought that a shape with 3 unequal pieces was partitioned into thirds.,[Circle B - 3 equal pieces],Correct.,"[Circle C - 3 lines, 4 unequal parts]",Student thought that a shape with three partitioning lines but four unequal parts could be described as thirds.,,,,,,,,,,Student thought that a shape with 3 unequal pieces was partitioned into thirds.,"Partition objects, including circles and rectangles, into three equal shares and describe the shares using ""thirds"""
MATH-00011,2,i111880,Interim_eedi,q100293,B,A,11163.0,26.444504165546,68.359759921168,5.392815551375,,,,MULTICHOICE,,Which circle is cut into thirds?,"Three circles shown: A) A circle divided by two horizontal lines into 3 unequal horizontal sections (the top and bottom sections are smaller than the middle). B) A circle divided into 3 equal sections by lines meeting at the center at approximately 120-degree angles (like a peace sign without the outer arc divisions). C) A circle divided by three vertical lines into 4 sections (three lines drawn, creating 4 parts, not 3).",[Circle with 2 horizontal lines - 3 unequal pieces],"Student chose a shape cut into 3 pieces, but not equal pieces.",[Circle with 3 equal sections from center],Correct.,[Circle with 3 vertical lines - 4 unequal pieces],"Student chose a shape cut into 4 unequal pieces; thought that thirds meant drawing three partitioning lines, rather than creating three parts, and didn't understand that each part should be equal.",,,,,,,,,,"Student chose a shape cut into 3 pieces, but not equal pieces.","Partition objects, including circles and rectangles, into three equal shares and describe the shares using ""thirds"""
MATH-00013,2,i185680,Compass,q188718,C,A,244.0,40.16393442622951,22.131147540983605,37.704918032786885,,,,MULTICHOICE,,Which amount describes 1 whole?,,1 half,Student focused on the number of parts rather than the size of the parts when identifying one whole; may have confused one part with one whole.,2 thirds,Student misunderstood how many equal parts make a whole and confused thirds with halves OR thought that two parts were enough to represent one whole regardless of the size of the part.,4 fourths,Correct.,,,,,,,,,,Student focused on the number of parts rather than the size of the parts when identifying one whole; may have confused one part with one whole.,"Describe a whole based on its number of parts, including two halves, three thirds, and four fourths"
MATH-00013,2,i112258,Interim_eedi,q100294,C,A,11459.0,41.49576751898,13.901736626232,44.838118509468,,,,MULTICHOICE,,Which amount describes 1 whole?,,1 half,"Student chose an answer with 1, not realizing this was 1 piece out of 2.",2 thirds,Student possibly thought thirds were 2 equal pieces; confused halves and thirds.,4 fourths,Correct.,,,,,,,,,,"Student chose an answer with 1, not realizing this was 1 piece out of 2.","Describe a whole based on its number of parts, including two halves, three thirds, and four fourths"
MATH-00015,2,i184953,Compass,q187725,C,B,235.0,16.595744680851062,36.170212765957444,47.234042553191486,,,,MULTICHOICE,,Which unit would be the best unit for measuring the length of a book?,,yards,"Student chose a unit that is too large for the object's length, perhaps thought it was a smaller unit of measurement.",meters,"Student chose a unit that is too large for the object's length, perhaps thought it was a similar unit with a smaller scale.",centimeters,Correct.,,,,,,,,,,"Student chose a unit that is too large for the object's length, perhaps thought it was a similar unit with a smaller scale.","Select an appropriate tool to measure the length, in standard units, of an object"
